#from wiki 8/23/12
#1	-	 #2	bot	01/23/2012 110m	02/20/2012 17:25	02/22/2012 04:50
2	 -	#4	top	11/18/2011 150m	02/22/2012 05:30	02/27/2012 13:40
3	 -	#5	bot	11/17/2011 250m	02/22/2012 05:30	02/27/2012 13:40
4	 -	#4	top	11/18/2011 150m	02/27/2012 13:40	03/01/2012 13:40
5	5.0T_6DEG_GEP	#13	top	01/25/2012 140m	03/01/2012 13:40	03/14/2012 12:13
6	5.0T_6DEG_GEP	#15	bot	01/25/2012 120m	03/01/2012 13:40	03/14/2012 12:13
7	2.5T_PERP_G2P	#3	top	01/23/2012 115m	03/14/2012 12:55	04/17/2012 11:00
8	2.5T_PERP_G2P	#6	bot	01/24/2012 120m	03/14/2012 12:55	04/17/2012 11:00
9	5.0T_6DEG_GEP	#13	top	01/25/2012 140m	04/17/2012 15:41	04/19/2012 11:00
10	5.0T_6DEG_GEP	#15	bot	01/25/2012 120m	04/17/2012 15:41	04/19/2012 11:00
11	2.5T_PERP_G2P	#4	top	01/24/2012 130m	04/19/2012 11:00	04/26/2012 09:30
12	2.5T_PERP_G2P	#7	bot	01/23/2012 115m	04/19/2012 11:00	04/26/2012 09:30
13	2.5T_PERP_G2P	#4	top	01/24/2012 130m	04/26/2012 09:30	04/30/2012 18:00
14	2.5T_PERP_G2P	#7	bot	01/23/2012 115m	04/26/2012 09:30	04/30/2012 18:00
15	5.0T_6DEG_GEP	#13/#11	top	"4-19-2012 top"/"01/25/2012 150m"	04/30/2012 18:00	05/02/2012 10:00
16	5.0T_6DEG_GEP	#15	bot	"4-19-2012 bot"	04/30/2012 18:00	 05/02/2012 10:00
17	5.0T_LONG_G2P	#13/#11	top	"4-19-2012 top"/"01/25/2012 150m"	05/02/2012 10:00	05/09/2012 17:00
18	5.0T_LONG_G2P	#15	bot	"4-19-2012 bot"	05/02/2012 10:00	 05/09/2012 17:00
19	5.0T_LONG_G2P	#9	top	01/24/2012 125m	05/09/2012 17:00	 05/18/2012 11:00
20	5.0T_LONG_G2P	#10	bot	01/23/2012 150m	05/09/2012 17:00	 05/18/2012 11:00
