#run	start_time	stop_time	species	cell	charge_avg_online	charge_avg_offline_cc	charge_avg_offline	run_dose(Pe/cm2)	cc_on	cc_off	pol_on	pol_off
16062	2022-06-13 17:56:00-04:00	2022-06-13 18:29:00-04:00	p	15	0.0000	0.0000	0.0000	0.0	-9.1267	-9.6057	0.7287	0.7319
16064	2022-06-13 20:26:00-04:00	2022-06-13 21:58:00-04:00	p	15	0.0000	0.0000	0.0000	0.0	-9.1267	-9.6057	0.8314	0.8366
16066	2022-06-13 23:44:00-04:00	2022-06-14 01:59:00-04:00	p	15	0.8237	0.8669	0.8296	0.040779609342675945	-9.1267	-9.6057	0.8179	0.8229
16067	2022-06-14 02:01:00-04:00	2022-06-14 05:51:00-04:00	p	15	0.8227	0.8659	0.8283	0.040930626610602365	-9.1267	-9.6057	0.8308	0.8369
16068	2022-06-14 05:53:00-04:00	2022-06-14 06:04:00-04:00	p	15	0.8294	0.8730	0.8356	0.0036755564993780202	-9.1267	-9.6057	0.8287	0.8349
16069	2022-06-14 06:10:00-04:00	2022-06-14 08:35:00-04:00	p	15	0.8263	0.8697	0.8319	0.03741564477379782	-9.1267	-9.6057	0.8268	0.8331
16071	2022-06-14 15:17:00-04:00	2022-06-14 15:41:00-04:00	p	15	0.0000	0.0000	0.0000	0.0	-9.1267	-9.6057	0.8468	0.8530
16074	2022-06-14 20:17:00-04:00	2022-06-14 22:34:00-04:00	p	15	0.8365	0.8804	0.8436	0.03825305780763744	-9.1267	-9.6057	0.8279	0.8346
16075	2022-06-14 22:36:00-04:00	2022-06-15 00:50:00-04:00	p	15	0.8285	0.8720	0.8351	0.03976975561169847	-9.1267	-9.6057	0.8289	0.8348
16076	2022-06-15 00:52:00-04:00	2022-06-15 02:53:00-04:00	p	15	0.8276	0.8710	0.8339	0.038374835620717695	-9.1267	-9.6057	0.8279	0.8333
16077	2022-06-15 02:55:00-04:00	2022-06-15 05:17:00-04:00	p	15	0.8269	0.8703	0.8330	0.03694085494077849	-9.1267	-9.6057	0.8291	0.8330
16078	2022-06-15 05:22:00-04:00	2022-06-15 07:41:00-04:00	p	15	0.8313	0.8749	0.8373	0.015563390787814373	-9.1267	-9.6057	0.8317	0.8377
16137	2022-06-20 00:02:00-04:00	2022-06-20 07:13:00-04:00	p	15	0.6343	0.6292	0.6089	0.32297765197079775	-5.2467	-5.2040	0.6364	0.6085
16138	2022-06-20 07:17:00-04:00	2022-06-20 14:57:00-04:00	p	15	0.6332	0.6281	0.6044	0.2769746337653729	-5.2467	-5.2040	0.6327	0.6006
16144	2022-06-20 16:02:00-04:00	2022-06-20 20:05:00-04:00	p	15	0.6306	0.6254	0.5974	0.1757196471096532	-5.2467	-5.2040	0.6285	0.5953
16145	2022-06-20 20:09:00-04:00	2022-06-21 00:05:00-04:00	p	15	0.6284	0.6233	0.5940	0.16073856096154654	-5.2467	-5.2040	0.6279	0.5929
16146	2022-06-21 00:08:00-04:00	2022-06-21 03:08:00-04:00	p	15	0.6261	0.6210	0.5911	0.04477615836788383	-5.2467	-5.2040	0.6256	0.5902
16147	2022-06-21 03:13:00-04:00	2022-06-21 03:37:00-04:00	p	15	0.0000	0.0000	0.0000	0.0	-5.2467	-5.2040	0.6346	0.6008
16148	2022-06-21 04:03:00-04:00	2022-06-21 08:26:00-04:00	p	15	0.6284	0.6233	0.5947	0.16209017571410284	-5.2467	-5.2040	0.6277	0.5931
16152	2022-06-21 19:57:00-04:00	2022-06-21 20:52:00-04:00	p	15	-0.5623	-0.5578	-0.5273	0.029996822398829334	-5.2467	-5.2040	-0.5625	-0.5283
16156	2022-06-22 21:37:00-04:00	2022-06-22 23:43:00-04:00	p	15	-0.5815	-0.5767	-0.5445	0.05139863949845907	-5.2467	-5.2040	-0.5782	-0.5412
16157	2022-06-22 00:11:00-04:00	2022-06-22 04:06:00-04:00	p	15	-0.5772	-0.5725	-0.5411	0.0741650546162745	-5.2467	-5.2040	-0.5785	-0.5420
16158	2022-06-22 04:08:00-04:00	2022-06-22 06:01:00-04:00	p	15	-0.5768	-0.5721	-0.5403	0.061797913066174166	-5.2467	-5.2040	-0.5793	-0.5428
16164	2022-06-22 10:27:00-04:00	2022-06-22 10:53:00-04:00	p	15	-0.5839	-0.5792	-0.5461	0.0038893881782155687	-5.2467	-5.2040	-0.5810	-0.5445
16166	2022-06-22 12:08:00-04:00	2022-06-22 13:08:00-04:00	p	15	-0.5813	-0.5766	-0.5453	0.041715685688131734	-5.2467	-5.2040	-0.5802	-0.5440
16167	2022-06-22 13:10:00-04:00	2022-06-22 16:34:00-04:00	p	15	-0.5796	-0.5749	-0.5432	0.1071849137404298	-5.2467	-5.2040	-0.5835	-0.5459
16168	2022-06-22 17:00:00-04:00	2022-06-22 18:01:00-04:00	p	15	-0.5826	-0.5778	-0.5457	0.010510850826976687	-5.2467	-5.2040	-0.5871	-0.5511
16169	2022-06-22 20:22:00-04:00	2022-06-22 21:29:00-04:00	p	15	-0.5826	-0.5779	-0.5455	0.021893529241755715	-5.2467	-5.2040	-0.5840	-0.5464
16170	2022-06-22 22:35:00-04:00	2022-06-23 02:51:00-04:00	p	15	-0.5789	-0.5742	-0.5417	0.17428624272816978	-5.2467	-5.2040	-0.5783	-0.5409
16174	2022-06-23 03:23:00-04:00	2022-06-23 03:40:00-04:00	p	15	-0.5792	-0.5745	-0.5409	0.014097305928228731	-5.2467	-5.2040	-0.5774	-0.5396
16178	2022-06-23 04:06:00-04:00	2022-06-23 06:16:00-04:00	p	15	-0.5728	-0.5682	-0.5349	0.11458278644428273	-5.2467	-5.2040	-0.5702	-0.5311
16211	2022-07-01 20:41:00-04:00	2022-07-02 01:15:00-04:00	p	15	0.6854	0.6838	0.6648	0.15287554165544856	-3.6665	-3.6582	0.6951	0.6738
16213	2022-07-02 01:47:00-04:00	2022-07-02 04:44:00-04:00	p	15	0.6966	0.6950	0.6752	0.09896737735947161	-3.6665	-3.6582	0.6986	0.6770
16214	2022-07-02 04:48:00-04:00	2022-07-02 08:41:00-04:00	p	15	0.6976	0.6960	0.6755	0.15755310377703147	-3.6665	-3.6582	0.6979	0.6752
16220	2022-07-02 10:31:00-04:00	2022-07-02 10:40:00-04:00	p	15	0.7011	0.6995	0.6785	0.003763497376197306	-3.6665	-3.6582	0.7002	0.6780
16221	2022-07-02 12:15:00-04:00	2022-07-02 16:23:00-04:00	p	15	0.6975	0.6960	0.6746	0.15103292675425212	-3.6665	-3.6582	0.6938	0.6704
16222	2022-07-02 16:28:00-04:00	2022-07-02 20:23:00-04:00	p	15	0.6926	0.6911	0.6689	0.1767381955720628	-3.6665	-3.6582	0.6905	0.6665
16223	2022-07-02 20:32:00-04:00	2022-07-03 00:32:00-04:00	p	15	0.6887	0.6872	0.6640	0.20333062596489873	-3.6665	-3.6582	0.6877	0.6625
16224	2022-07-03 00:34:00-04:00	2022-07-03 01:22:00-04:00	p	15	0.6878	0.6862	0.6626	0.01218213589898835	-3.6665	-3.6582	0.6909	0.6653
16225	2022-07-03 01:58:00-04:00	2022-07-03 03:01:00-04:00	p	15	0.6885	0.6870	0.6632	0.05203775314151724	-3.6665	-3.6582	0.6867	0.6618
16226	2022-07-03 03:07:00-04:00	2022-07-03 04:42:00-04:00	p	15	0.6872	0.6856	0.6615	0.04411438108236361	-3.6665	-3.6582	0.6901	0.6640
16228	2022-07-03 05:35:00-04:00	2022-07-03 08:23:00-04:00	p	15	0.6873	0.6857	0.6613	0.08546658772324006	-3.6665	-3.6582	0.6907	0.6645
16231	2022-07-03 13:35:00-04:00	2022-07-03 16:59:00-04:00	p	15	-0.5166	-0.5154	-0.4938	0.09288170586591986	-3.6665	-3.6582	-0.5482	-0.5247
16232	2022-07-03 17:58:00-04:00	2022-07-03 22:00:00-04:00	p	15	-0.5703	-0.5690	-0.5455	0.18149424593667887	-3.6665	-3.6582	-0.5793	-0.5537
16233	2022-07-03 22:03:00-04:00	2022-07-04 02:03:00-04:00	p	15	-0.5852	-0.5839	-0.5595	0.19553774142982142	-3.6665	-3.6582	-0.5898	-0.5634
16234	2022-07-04 02:07:00-04:00	2022-07-04 02:53:00-04:00	p	15	-0.5906	-0.5892	-0.5642	0.03699171625297211	-3.6665	-3.6582	-0.5920	-0.5652
16235	2022-07-04 03:05:00-04:00	2022-07-04 03:25:00-04:00	p	15	-0.5922	-0.5908	-0.5657	0.016117880727113256	-3.6665	-3.6582	-0.5914	-0.5657
16236	2022-07-04 03:31:00-04:00	2022-07-04 04:53:00-04:00	p	15	-0.5938	-0.5924	-0.5672	0.051528286101742656	-3.6665	-3.6582	-0.5939	-0.5676
16238	2022-07-04 05:19:00-04:00	2022-07-04 05:59:00-04:00	p	15	-0.5946	-0.5932	-0.5678	0.022269139179841142	-3.6665	-3.6582	-0.5964	-0.5691
16241	2022-07-04 06:35:00-04:00	2022-07-04 06:53:00-04:00	p	15	-0.5973	-0.5960	-0.5705	0.013207259944312684	-3.6665	-3.6582	-0.5972	-0.5702
16242	2022-07-04 07:21:00-04:00	2022-07-04 07:39:00-04:00	p	15	0.0000	0.0000	0.0000	0.0	-3.6665	-3.6582	-0.5990	-0.5718
16243	2022-07-04 08:17:00-04:00	2022-07-04 11:00:00-04:00	p	15	-0.5993	-0.5980	-0.5720	0.11953571385548152	-3.6665	-3.6582	-0.5981	-0.5714
16244	2022-07-04 11:06:00-04:00	2022-07-04 13:11:00-04:00	p	15	-0.6003	-0.5989	-0.5727	0.08708928007692733	-3.6665	-3.6582	-0.6010	-0.5739
16245	2022-07-04 15:48:00-04:00	2022-07-04 20:26:00-04:00	p	15	-0.6015	-0.6001	-0.5733	0.20897343411107744	-3.6665	-3.6582	-0.6057	-0.5769
16246	2022-07-04 20:58:00-04:00	2022-07-05 00:58:00-04:00	p	15	-0.6046	-0.6033	-0.5759	0.19367886998831194	-3.6665	-3.6582	-0.6038	-0.5749
16248	2022-07-05 01:09:00-04:00	2022-07-05 05:08:00-04:00	p	15	-0.6045	-0.6031	-0.5753	0.178115738833295	-3.6665	-3.6582	-0.6051	-0.5756
16249	2022-07-05 05:10:00-04:00	2022-07-05 06:30:00-04:00	p	15	-0.6058	-0.6045	-0.5764	0.03527881437589139	-3.6665	-3.6582	-0.6058	-0.5762
16250	2022-07-05 07:37:00-04:00	2022-07-05 08:24:00-04:00	p	15	-0.6047	-0.6033	-0.5753	0.0262994028228015	-3.6665	-3.6582	-0.6045	-0.5758
16251	2022-07-05 08:37:00-04:00	2022-07-05 09:35:00-04:00	p	15	-0.6053	-0.6039	-0.5756	0.04102545134130887	-3.6665	-3.6582	-0.6052	-0.5757
16252	2022-07-05 10:35:00-04:00	2022-07-05 12:00:00-04:00	p	15	-0.6065	-0.6051	-0.5768	0.05234226056746579	-3.6665	-3.6582	-0.6054	-0.5757
16253	2022-07-05 12:24:00-04:00	2022-07-05 16:22:00-04:00	p	15	-0.6060	-0.6047	-0.5762	0.13612404749744236	-3.6665	-3.6582	-0.6058	-0.5754
16254	2022-07-05 16:26:00-04:00	2022-07-05 16:30:00-04:00	p	15	-0.6059	-0.6045	-0.5758	0.002430583940001628	-3.6665	-3.6582	-0.6055	-0.5753
16256	2022-07-05 16:44:00-04:00	2022-07-05 20:48:00-04:00	p	15	-0.6039	-0.6025	-0.5738	0.1834922168074285	-3.6665	-3.6582	-0.6026	-0.5726
16257	2022-07-05 20:56:00-04:00	2022-07-06 00:56:00-04:00	p	15	-0.6020	-0.6006	-0.5717	0.1893410118590861	-3.6665	-3.6582	-0.6017	-0.5708
16259	2022-07-06 01:16:00-04:00	2022-07-06 05:16:00-04:00	p	15	-0.5981	-0.5968	-0.5680	0.16736688466159158	-3.6665	-3.6582	-0.5969	-0.5668
16260	2022-07-06 05:22:00-04:00	2022-07-06 07:26:00-04:00	p	15	-0.5968	-0.5955	-0.5667	0.09810462570234825	-3.6665	-3.6582	-0.5970	-0.5663
16263	2022-07-08 02:05:00-04:00	2022-07-08 02:24:00-04:00	d	20	0.0515	0.1734	0.1730	0.009374788261257035	-5.2467	-17.6580	0.0592	0.1781
16269	2022-07-08 07:27:00-04:00	2022-07-08 07:40:00-04:00	d	20	0.0704	0.2369	0.2313	0.005152813269264657	-5.2467	-17.6580	0.0740	0.2403
16270	2022-07-08 07:48:00-04:00	2022-07-08 10:41:00-04:00	d	20	0.0726	0.2444	0.2461	0.058990426023172796	-5.2467	-17.6580	0.0687	0.2401
16271	2022-07-08 10:43:00-04:00	2022-07-08 12:48:00-04:00	d	20	0.0468	0.1574	0.1666	0.00981226842444037	-5.2467	-17.6580	0.0690	0.2297
16273	2022-07-09 00:06:00-04:00	2022-07-09 02:25:00-04:00	d	20	0.0683	0.2300	0.2351	0.05738253589522981	-5.2467	-17.6580	0.0753	0.2632
16277	2022-07-09 06:49:00-04:00	2022-07-09 09:49:00-04:00	d	20	0.0865	0.2911	0.2989	0.07793993729710863	-5.2467	-17.6580	0.0903	0.3042
16279	2022-07-09 22:45:00-04:00	2022-07-10 01:29:00-04:00	d	20	0.0641	0.2157	0.3018	0.06850062887477867	-5.2467	-17.6580	0.0661	0.2941
16280	2022-07-09 22:45:00-04:00	2022-07-10 01:29:00-04:00	d	20	0.0641	0.2157	0.3018	0.06850062887477867	-5.2467	-17.6580	0.0661	0.2941
16281	2022-07-10 09:37:00-04:00	2022-07-10 13:41:00-04:00	d	20	0.0640	0.2154	0.2984	0.08645349682282331	-5.2467	-17.6580	0.0629	0.3044
16283	2022-07-10 13:59:00-04:00	2022-07-10 15:55:00-04:00	d	20	0.0658	0.2216	0.3087	0.024312434345706492	-5.2467	-17.6580	0.0649	0.3181
16284	2022-07-10 16:18:00-04:00	2022-07-10 19:26:00-04:00	d	20	0.0456	0.1534	0.1463	0.06509291819795315	-5.2467	-17.6580	0.0577	0.1892
16285	2022-07-10 20:20:00-04:00	2022-07-11 00:20:00-04:00	d	20	0.0661	0.2225	0.2070	0.10934290961132358	-5.2467	-17.6580	0.0686	0.2124
16286	2022-07-11 00:24:00-04:00	2022-07-11 04:22:00-04:00	d	20	0.0704	0.2370	0.2184	0.10281710504083763	-5.2467	-17.6580	0.0733	0.2310
16287	2022-07-11 04:27:00-04:00	2022-07-11 08:29:00-04:00	d	20	0.0756	0.2545	0.2386	0.0976298021992959	-5.2467	-17.6580	0.0767	0.2422
16288	2022-07-11 08:31:00-04:00	2022-07-11 11:01:00-04:00	d	20	0.0770	0.2591	0.2453	0.06281709074828148	-5.2467	-17.6580	0.0769	0.2457
16289	2022-07-11 11:08:00-04:00	2022-07-11 12:27:00-04:00	d	20	0.0802	0.2700	0.2574	0.03598021821639971	-5.2467	-17.6580	0.0819	0.2674
16317	2022-07-14 23:30:00-04:00	2022-07-15 00:02:00-04:00	p	15	0.6177	0.6368	0.6119	0.0253808167356298	-3.7019	-3.8164	0.6184	0.6107
16318	2022-07-15 00:05:00-04:00	2022-07-15 02:44:00-04:00	p	15	0.6051	0.6238	0.5986	0.12275691040679743	-3.7019	-3.8164	0.5999	0.5926
16320	2022-07-15 02:55:00-04:00	2022-07-15 06:54:00-04:00	p	15	0.5963	0.6148	0.5887	0.15694958467278328	-3.7019	-3.8164	0.5931	0.5843
16321	2022-07-15 06:56:00-04:00	2022-07-15 10:29:00-04:00	p	15	0.5903	0.6085	0.5815	0.1315647728743727	-3.7019	-3.8164	0.5893	0.5808
16322	2022-07-15 10:37:00-04:00	2022-07-15 12:26:00-04:00	p	15	0.6106	0.6295	0.5987	0.07778297322608135	-3.7019	-3.8164	0.6131	0.6009
16323	2022-07-15 12:32:00-04:00	2022-07-15 14:34:00-04:00	p	15	0.6138	0.6328	0.6008	0.04714939949317816	-3.7019	-3.8164	0.6155	0.6021
16325	2022-07-15 19:14:00-04:00	2022-07-15 19:26:00-04:00	p	15	0.6162	0.6352	0.6027	0.010328044200793354	-3.7019	-3.8164	0.6157	0.6017
16326	2022-07-15 19:33:00-04:00	2022-07-15 20:28:00-04:00	p	15	0.6136	0.6325	0.6000	0.026489860535222322	-3.7019	-3.8164	0.6165	0.6021
16327	2022-07-15 21:29:00-04:00	2022-07-16 01:27:00-04:00	p	15	0.6100	0.6289	0.5955	0.18151150760377172	-3.7019	-3.8164	0.6077	0.5922
16328	2022-07-16 01:30:00-04:00	2022-07-16 05:27:00-04:00	p	15	0.6066	0.6254	0.5905	0.17295549391393544	-3.7019	-3.8164	0.6055	0.5885
16329	2022-07-16 05:30:00-04:00	2022-07-16 09:30:00-04:00	p	15	0.6039	0.6226	0.5867	0.1980575995989019	-3.7019	-3.8164	0.6020	0.5844
16330	2022-07-16 09:38:00-04:00	2022-07-16 13:38:00-04:00	p	15	0.6003	0.6189	0.5818	0.2205860431320063	-3.7019	-3.8164	0.5990	0.5802
16331	2022-07-16 13:40:00-04:00	2022-07-16 15:29:00-04:00	p	15	0.5994	0.6179	0.5800	0.07141772935046549	-3.7019	-3.8164	0.6013	0.5815
16332	2022-07-16 15:48:00-04:00	2022-07-16 16:19:00-04:00	p	15	0.6013	0.6199	0.5813	0.01094555228166496	-3.7019	-3.8164	0.6026	0.5824
16333	2022-07-16 17:30:00-04:00	2022-07-16 18:33:00-04:00	p	15	0.6023	0.6209	0.5822	0.03164005939971112	-3.7019	-3.8164	0.6015	0.5809
16334	2022-07-16 23:20:00-04:00	2022-07-16 23:26:00-04:00	p	15	-0.4996	-0.5151	-0.4928	0.004401622766175006	-3.7019	-3.8164	-0.4999	-0.4927
16335	2022-07-16 23:37:00-04:00	2022-07-17 03:39:00-04:00	p	15	-0.5117	-0.5276	-0.5048	0.15974166273203014	-3.7019	-3.8164	-0.5216	-0.5150
16336	2022-07-17 03:32:00-04:00	2022-07-17 05:52:00-04:00	p	15	-0.5248	-0.5411	-0.5175	0.09241511641440436	-3.7019	-3.8164	-0.5272	-0.5194
16337	2022-07-17 05:57:00-04:00	2022-07-17 07:36:00-04:00	p	15	-0.5268	-0.5431	-0.5191	0.06421977709028123	-3.7019	-3.8164	-0.5316	-0.5242
16338	2022-07-17 07:46:00-04:00	2022-07-17 10:56:00-04:00	p	15	-0.5320	-0.5485	-0.5240	0.13777847136284246	-3.7019	-3.8164	-0.5363	-0.5279
16339	2022-07-17 11:08:00-04:00	2022-07-17 12:16:00-04:00	p	15	-0.5356	-0.5522	-0.5273	0.04368531548054427	-3.7019	-3.8164	-0.5363	-0.5278
16341	2022-07-17 12:34:00-04:00	2022-07-17 16:31:00-04:00	p	15	-0.5362	-0.5528	-0.5275	0.16355823077755116	-3.7019	-3.8164	-0.5346	-0.5258
16343	2022-07-17 16:56:00-04:00	2022-07-17 20:31:00-04:00	p	15	-0.5336	-0.5501	-0.5242	0.15588878859936736	-3.7019	-3.8164	-0.5280	-0.5181
16345	2022-07-17 20:51:00-04:00	2022-07-17 21:52:00-04:00	p	15	-0.5309	-0.5473	-0.5210	0.04771326762130193	-3.7019	-3.8164	-0.5342	-0.5241
16346	2022-07-17 22:13:00-04:00	2022-07-18 02:10:00-04:00	p	15	-0.5352	-0.5517	-0.5249	0.1880925278111232	-3.7019	-3.8164	-0.5345	-0.5243
16348	2022-07-18 02:20:00-04:00	2022-07-18 06:19:00-04:00	p	15	-0.5326	-0.5490	-0.5216	0.18070212473353459	-3.7019	-3.8164	-0.5332	-0.5219
16350	2022-07-18 06:27:00-04:00	2022-07-18 10:28:00-04:00	p	15	-0.5347	-0.5512	-0.5235	0.13228105475431925	-3.7019	-3.8164	-0.5357	-0.5243
16352	2022-07-18 10:38:00-04:00	2022-07-18 14:42:00-04:00	p	15	-0.5360	-0.5526	-0.5243	0.1667874313425939	-3.7019	-3.8164	-0.5351	-0.5233
16353	2022-07-18 14:50:00-04:00	2022-07-18 18:52:00-04:00	p	15	-0.5343	-0.5508	-0.5221	0.18794973518439356	-3.7019	-3.8164	-0.5334	-0.5214
16354	2022-07-18 18:54:00-04:00	2022-07-18 22:49:00-04:00	p	15	-0.5328	-0.5493	-0.5202	0.1734676961106357	-3.7019	-3.8164	-0.5334	-0.5208
16355	2022-07-18 22:52:00-04:00	2022-07-19 02:46:00-04:00	p	15	-0.5322	-0.5487	-0.5192	0.17425374928460519	-3.7019	-3.8164	-0.5322	-0.5190
16356	2022-07-19 02:48:00-04:00	2022-07-19 06:40:00-04:00	p	15	-0.5323	-0.5488	-0.5187	0.16747227826102523	-3.7019	-3.8164	-0.5317	-0.5172
16357	2022-07-19 06:42:00-04:00	2022-07-19 09:07:00-04:00	p	15	-0.5303	-0.5467	-0.5164	0.11016050913172301	-3.7019	-3.8164	-0.5300	-0.5162
16358	2022-07-19 12:49:00-04:00	2022-07-19 15:10:00-04:00	d	20	0.0966	0.4608	0.6113	0.043402660341902266	-3.7019	-17.6580	1.3872	9.5944
16359	2022-07-19 15:25:00-04:00	2022-07-19 17:08:00-04:00	d	20	-0.0439	-0.2094	-0.3610	0.036735001936263646	-3.7019	-17.6580	0.0407	0.2013
16360	2022-07-19 17:16:00-04:00	2022-07-19 17:29:00-04:00	d	20	0.0427	0.2037	0.2113	0.001855247826064319	-3.7019	-17.6580	0.0424	0.2181
16361	2022-07-19 17:33:00-04:00	2022-07-19 17:49:00-04:00	d	20	0.0425	0.2028	0.2200	0.0018586294084083465	-3.7019	-17.6580	0.0431	0.2319
16362	2022-07-19 17:53:00-04:00	2022-07-19 19:01:00-04:00	d	20	0.0433	0.2065	0.2232	0.03273464381842243	-3.7019	-17.6580	0.0434	0.2267
16401	2022-07-21 21:01:00-04:00	2022-07-21 21:46:00-04:00	d	20	0.1682	0.1512	0.1202	0.023804604052883132	-14.5000	-13.0300	0.1858	0.1271
16403	2022-07-21 22:57:00-04:00	2022-07-22 03:02:00-04:00	d	20	0.2221	0.1996	0.1644	0.12403466463838675	-14.5000	-13.0300	0.2301	0.1690
16404	2022-07-22 03:06:00-04:00	2022-07-22 06:56:00-04:00	d	20	0.2533	0.2276	0.1848	0.11366983949869514	-14.5000	-13.0300	0.2643	0.1968
16405	2022-07-22 06:58:00-04:00	2022-07-22 10:01:00-04:00	d	20	0.2687	0.2415	0.2020	0.06535161634362527	-14.5000	-13.0300	0.2793	0.2058
16406	2022-07-22 11:03:00-04:00	2022-07-22 13:05:00-04:00	d	20	0.2723	0.2447	0.2106	0.049524454618489124	-14.5000	-13.0300	0.2866	0.2214
16407	2022-07-22 13:23:00-04:00	2022-07-22 14:46:00-04:00	d	20	0.2914	0.2619	0.2279	0.03507397689028038	-14.5000	-13.0300	0.2957	0.2277
16408	2022-07-22 14:56:00-04:00	2022-07-22 17:02:00-04:00	d	20	0.3146	0.2827	0.2394	0.048560095269633494	-14.5000	-13.0300	0.3215	0.2499
16409	2022-07-22 17:11:00-04:00	2022-07-22 21:11:00-04:00	d	20	0.3294	0.2960	0.2509	0.1181512423903398	-14.5000	-13.0300	0.3334	0.2546
16410	2022-07-22 21:44:00-04:00	2022-07-22 23:11:00-04:00	d	20	0.3404	0.3059	0.2617	0.031102873195291945	-14.5000	-13.0300	0.3414	0.2515
16411	2022-07-22 23:24:00-04:00	2022-07-23 00:24:00-04:00	d	20	0.3468	0.3117	0.2666	0.030496399421871198	-14.5000	-13.0300	0.3551	0.2675
16412	2022-07-23 00:26:00-04:00	2022-07-23 01:00:00-04:00	d	20	0.3476	0.3123	0.2632	0.014403922253244389	-14.5000	-13.0300	0.3492	0.2606
16414	2022-07-23 01:40:00-04:00	2022-07-23 03:35:00-04:00	d	20	0.3548	0.3188	0.2691	0.05765704041659723	-14.5000	-13.0300	0.3569	0.2759
16415	2022-07-23 03:48:00-04:00	2022-07-23 05:11:00-04:00	d	20	0.3606	0.3240	0.2766	0.03059790682437146	-14.5000	-13.0300	0.3585	0.2842
16416	2022-07-23 05:21:00-04:00	2022-07-23 09:22:00-04:00	d	20	0.3669	0.3297	0.2822	0.11290325969284339	-14.5000	-13.0300	0.3710	0.2790
16419	2022-07-23 09:59:00-04:00	2022-07-23 13:20:00-04:00	d	20	0.3708	0.3332	0.2819	0.09117430107964888	-14.5000	-13.0300	0.3735	0.2781
16420	2022-07-23 13:30:00-04:00	2022-07-23 13:47:00-04:00	d	20	0.3744	0.3364	0.2899	0.0038248470109931982	-14.5000	-13.0300	0.3740	0.2955
16421	2022-07-23 16:20:00-04:00	2022-07-23 18:16:00-04:00	d	20	0.3819	0.3432	0.2943	0.049160101554837514	-14.5000	-13.0300	0.3843	0.2941
16422	2022-07-23 18:42:00-04:00	2022-07-23 22:42:00-04:00	d	20	0.3841	0.3452	0.2952	0.10689939763589804	-14.5000	-13.0300	0.3839	0.2933
16423	2022-07-23 22:45:00-04:00	2022-07-24 02:44:00-04:00	d	20	0.3924	0.3526	0.2996	0.11307325216865005	-14.5000	-13.0300	0.3963	0.3037
16424	2022-07-24 02:47:00-04:00	2022-07-24 04:36:00-04:00	d	20	0.3979	0.3576	0.3044	0.046523002664484836	-14.5000	-13.0300	0.3946	0.3088
16425	2022-07-24 05:00:00-04:00	2022-07-24 06:14:00-04:00	d	20	0.4010	0.3604	0.3100	0.03410520694789442	-14.5000	-13.0300	0.3984	0.3094
16426	2022-07-24 06:28:00-04:00	2022-07-24 10:30:00-04:00	d	20	0.3999	0.3594	0.3065	0.10819780215672176	-14.5000	-13.0300	0.3980	0.3011
16432	2022-07-24 11:16:00-04:00	2022-07-24 14:39:00-04:00	d	20	0.4051	0.3640	0.3172	0.08292507747885942	-14.5000	-13.0300	0.4078	0.3141
16433	2022-07-24 19:13:00-04:00	2022-07-24 21:21:00-04:00	d	20	-0.0826	-0.0742	-0.1127	0.03409124283176061	-14.5000	-13.0300	-0.0896	-0.1015
16434	2022-07-25 01:01:00-04:00	2022-07-25 05:06:00-04:00	d	20	-0.1579	-0.1419	-0.1779	0.11190181027955577	-14.5000	-13.0300	-0.1709	-0.1904
16435	2022-07-25 05:18:00-04:00	2022-07-25 09:24:00-04:00	d	20	-0.1838	-0.1652	-0.2023	0.11265152864819038	-14.5000	-13.0300	-0.1903	-0.1977
16436	2022-07-25 09:48:00-04:00	2022-07-25 13:27:00-04:00	d	20	-0.2010	-0.1806	-0.2252	0.09350807069726981	-14.5000	-13.0300	-0.2074	-0.2289
16438	2022-07-25 13:54:00-04:00	2022-07-25 17:54:00-04:00	d	20	-0.2106	-0.1893	-0.2238	0.0924372990020349	-14.5000	-13.0300	-0.2048	-0.2169
16440	2022-07-25 20:07:00-04:00	2022-07-25 23:53:00-04:00	d	20	-0.2210	-0.1986	-0.2311	0.10285505268780035	-14.5000	-13.0300	-0.2221	-0.2353
16441	2022-07-25 23:59:00-04:00	2022-07-26 01:45:00-04:00	d	20	-0.2260	-0.2031	-0.2389	0.05263687450076619	-14.5000	-13.0300	-0.2220	-0.2389
16442	2022-07-26 02:13:00-04:00	2022-07-26 02:32:00-04:00	d	20	-0.2254	-0.2026	-0.2351	0.009446717669283448	-14.5000	-13.0300	-0.2262	-0.2331
16443	2022-07-26 02:38:00-04:00	2022-07-26 06:31:00-04:00	d	20	-0.2258	-0.2029	-0.2363	0.10558069993702268	-14.5000	-13.0300	-0.1960	-0.2320
16444	2022-07-26 06:37:00-04:00	2022-07-26 07:12:00-04:00	d	20	-0.2312	-0.2078	-0.2409	0.015334562531338016	-14.5000	-13.0300	-0.2329	-0.2430
16445	2022-07-26 07:16:00-04:00	2022-07-26 07:52:00-04:00	d	20	-0.2340	-0.2103	-0.2411	0.015357798541365859	-14.5000	-13.0300	-0.2420	-0.2503
16447	2022-07-26 09:31:00-04:00	2022-07-26 12:29:00-04:00	d	20	-0.2405	-0.2162	-0.2503	0.051848113470250444	-14.5000	-13.0300	-0.2464	-0.2476
16448	2022-07-26 12:56:00-04:00	2022-07-26 15:31:00-04:00	d	20	-0.2458	-0.2209	-0.2546	0.04324202539448654	-14.5000	-13.0300	-0.2532	-0.2685
